snapshot_date,company,sector,skill,category,jobs_requiring_skill,jobs_analysed,demand_rate
2026-09-01,DigitalOcean,Managed WordPress Hosting,Kubernetes,Infrastructure,46,140,32.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Python,Programming,45,140,32.1
2026-09-01,DigitalOcean,Managed WordPress Hosting,Observability,Infrastructure,44,140,31.4
2026-09-01,DigitalOcean,Managed WordPress Hosting,Go,Programming,38,140,27.1
2026-09-01,DigitalOcean,Managed WordPress Hosting,LLMs,AI,29,140,20.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Linux,Infrastructure,27,140,19.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,Incident Response,Security,25,140,17.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Terraform,Infrastructure,25,140,17.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Google Cloud,Cloud,22,140,15.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,AWS,Cloud,21,140,15.0
2026-09-01,DigitalOcean,Managed WordPress Hosting,MySQL,Data,20,140,14.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,SQL,Data,20,140,14.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,CI/CD,Infrastructure,19,140,13.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,Microsoft Azure,Cloud,18,140,12.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Node.js,Programming,18,140,12.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Product Management,Business,16,140,11.4
2026-09-01,DigitalOcean,Managed WordPress Hosting,Customer Success,Business,13,140,9.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,SOC 2,Security,13,140,9.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,Ansible,Infrastructure,12,140,8.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,Apache Kafka,Data,12,140,8.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,Helm,Infrastructure,11,140,7.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,JavaScript,Programming,11,140,7.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Docker,Infrastructure,10,140,7.1
2026-09-01,DigitalOcean,Managed WordPress Hosting,MongoDB,Data,10,140,7.1
2026-09-01,DigitalOcean,Managed WordPress Hosting,Account Management,Business,9,140,6.4
2026-09-01,DigitalOcean,Managed WordPress Hosting,Generative AI,AI,9,140,6.4
2026-09-01,DigitalOcean,Managed WordPress Hosting,Git,Infrastructure,9,140,6.4
2026-09-01,DigitalOcean,Managed WordPress Hosting,PostgreSQL,Data,9,140,6.4
2026-09-01,DigitalOcean,Managed WordPress Hosting,AI Agents,AI,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Bash,Programming,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Grafana,Infrastructure,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Partnerships,Business,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Rust,Programming,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,SIEM,Security,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Technical Support,Business,8,140,5.7
2026-09-01,DigitalOcean,Managed WordPress Hosting,Redis,Data,7,140,5.0
2026-09-01,DigitalOcean,Managed WordPress Hosting,Apache,Infrastructure,6,140,4.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,GDPR,Security,6,140,4.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,OpenTelemetry,Infrastructure,6,140,4.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,Prometheus,Infrastructure,6,140,4.3
2026-09-01,DigitalOcean,Managed WordPress Hosting,Application Security,Security,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,Java,Programming,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,Load Balancing,Infrastructure,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,PyTorch,AI,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,RAG,AI,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,Salesforce,Business,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,TensorFlow,AI,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,TypeScript,Programming,5,140,3.6
2026-09-01,DigitalOcean,Managed WordPress Hosting,GitHub Actions,Infrastructure,4,140,2.9
2026-09-01,DigitalOcean,Managed WordPress Hosting,Looker,Data,4,140,2.9
